iter	Passed	Remaining
0	0	86
1	1	78
2	2	74
3	2	67
4	3	65
5	4	64
6	5	67
7	5	67
8	6	66
9	7	65
10	7	64
11	8	63
12	9	62
13	9	60
14	10	59
15	11	58
16	11	58
17	12	57
18	13	56
19	13	55
20	14	54
21	15	53
22	15	52
23	16	51
24	17	51
25	17	50
26	18	49
27	19	48
28	19	48
29	20	47
30	21	46
31	21	46
32	22	45
33	23	44
34	23	44
35	24	43
36	25	42
37	25	41
38	26	41
39	27	40
40	27	39
41	27	38
42	28	37
43	29	37
44	29	36
45	30	35
46	31	35
47	31	34
48	32	33
49	33	33
50	33	32
51	34	31
52	35	31
53	35	30
54	36	29
55	36	28
56	37	28
57	37	27
58	38	26
59	39	26
60	39	25
61	40	24
62	41	24
63	41	23
64	42	22
65	43	22
66	43	21
67	44	20
68	44	20
69	45	19
70	46	18
71	46	18
72	47	17
73	48	16
74	48	16
75	49	15
76	50	15
77	51	14
78	51	13
79	52	13
80	52	12
81	53	11
82	54	11
83	54	10
84	55	9
85	56	9
86	56	8
87	57	7
88	58	7
89	59	6
90	59	5
91	60	5
92	60	4
93	61	3
94	62	3
95	63	2
96	63	1
97	64	1
98	64	0
99	65	0
